GEOID,tri
060350404002,68.549
060350406003,311.214
060350402003,36.455
060350406002,0.0
060371066031,211.504
060371325021,8.66
060590999033,9.899
060190055132,9.539
060190055141,7.071
060770027011,1.732
060770027013,2.646
060770041023,3.0
060770041022,3.0
060590875031,4.583
060590875032,0.0
060590875033,2.0
060590875034,3.464
060590875041,10.149
060590875042,6.164
060590875043,6.164
060590875044,6.164
060590876012,3.742
060590876013,4.69
060590876021,4.69
060590876022,2.0
060590876023,6.325
060590876024,2.0
060590877011,7.211
060590877012,13.266
060590880011,3.873
060590880012,4.472
060590880013,4.359
060590880021,6.083
060590880022,6.083
060590881011,16.673
060590881041,8.544
060590889014,11.533
060590889021,9.165
060590889022,11.358
060590889032,12.247
060590889033,15.1
060590889041,11.533
060590889042,11.489
060590889043,12.166
060590992323,1.732
060590992324,1.732
060590992331,6.0
060590992332,7.28
060590992341,5.292
060590992342,3.464
060590992351,12.288
060590992352,4.69
060014036001,43.841
060014036002,43.841
060014038001,62.418
060014038002,51.332
060014038003,51.332
060014072001,47.592
060014072002,44.125
060014072003,44.125
060014072004,44.125
060014073001,52.707
060014073002,38.601
060014074001,44.933
060014074002,44.933
060014211001,134.789
060014211002,202.499
060014212001,232.674
060014364011,103.836
060014308001,76.629
060014093002,20.298
060014381003,78.301
060014215003,234.625
060014044001,171.4
060014076002,35.214
060014055002,43.646
060014085003,19.261
060014231002,33.882
060014012003,28.879
060014034002,20.905
060014513003,10.724
060014326001,20.199
060014326002,19.95
060014326004,29.155
060014372001,42.426
060014372002,42.426
060014372003,53.075
060014373001,26.173
060014417004,8.426
060014418001,27.55
060014418002,27.55
060014506051,10.344
060014506052,7.071
060014506053,7.071
061130103121,4.243
060014506061,29.034
060014506062,82.71
060133720005,34.337
060133720006,34.337
060133720007,37.202
060133730001,34.337
060133730003,35.553
060133740001,28.284
060133740003,28.862
060133740004,28.862
060133750001,35.553
060133750002,30.984
060371977001,76.831
060372114101,31.289
060377009012,22.271
060371998002,57.871
060470006034,4.243
060470007011,4.243
060470007012,3.873
060470007023,4.472
060470007022,2.646
060470008011,4.243
060470008022,4.0
060470008012,4.243
060470004022,5.099
060470024011,10.344
060470014023,1.732
060470014022,1.414
060470015021,3.0
060470015031,2.646
060470015032,2.646
060470015033,2.236
060470016013,4.899
060470016011,2.236
060470016022,2.449
060470017002,2.828
060411022032,54.369
060411022033,71.673
060470023012,4.243
060470009021,6.164
060470023021,0.0
060014433221,78.045
060014044003,142.299
060014364014,64.614
060014328002,93.782
060330003002,96.005
060330001001,213.375
060330013001,99.73
060330012003,299.803
060330006002,359.089
060330010003,4.0
060330009002,130.373
060330006001,167.084
060470023022,5.568
060470023023,5.657
060470023024,6.0
060470024023,2.236
060470024022,1.732
060470011014,2.236
060470012001,1.732
060470023013,4.359
060290052012,160.53
060290025005,4.0
060290030005,3.873
060290005052,10.536
060290011024,47.021
061070022021,8.66
061070022022,8.66
061070022023,7.348
060290060021,63.498
060290012011,42.308
060290033062,708.178
060290013003,38.092
060290041011,5.292
060290021004,10.677
060290038072,5.568
060290050041,8.124
060290006001,19.545
060290006003,19.468
060290007001,37.59
060590759024,19.647
060590760001,13.675
060590760002,15.133
060590760003,13.82
060590760005,12.042
060590761012,10.677
060290007002,38.949
060290007003,35.944
060290055062,30.282
060290031122,3.464
060290030001,4.0
060290008003,45.166
060290055013,183.848
060290053001,14.071
060290018011,3.873
060290027002,4.0
060290055083,16.852
060590877013,7.211
060590877031,13.266
060590877032,14.697
060590877033,14.697
060590877034,15.297
060590877041,11.045
060590877042,11.045
060590877043,17.234
060590877044,11.045
060590881051,4.472
061070020082,0.0
060290012021,42.884
060290041013,4.123
060290006004,19.545
060290019014,3.873
060290057001,6.245
060290010002,52.44
060290023013,42.509
060290060042,140.659
060290046011,5.196
060290033051,722.381
060290063041,10.817
060290044012,5.385
060290043013,5.745
060290051041,178.695
060290001013,23.558
060290019011,3.742
060290008004,38.039
060290052013,391.352
060290029001,3.464
060330006004,18.0
060590881052,5.385
060590881072,5.477
060590882011,14.595
060590882012,14.595
060590882013,14.595
060590882021,15.067
060590883021,2.0
060590883022,8.544
061070020091,0.0
060290060071,386.837
060290037002,1.732
060290026002,4.0
060290028163,4.472
060290031132,3.873
060290032041,3.873
060290033052,340.01
060290038081,4.583
060590883023,14.353
060590884011,0.0
060590884012,4.472
060590884013,0.0
060590884021,2.0
060590884022,2.0
060590889044,15.1
060590889052,8.888
060590889053,7.348
060590890011,12.124
060290007004,38.949
060290007005,33.601
060290008001,71.603
060290008005,38.039
060290009021,63.127
060290009031,54.314
060290009032,54.314
060290009042,51.323
060590890012,14.107
060590890013,8.544
060590890014,9.695
060590890032,12.689
060590992144,0.0
060590992151,0.0
060590992152,1.732
060590992143,1.732
060590992161,0.0
060590992162,0.0
060590992171,0.0
060590992172,3.162
060590992353,10.863
060590992354,3.606
060590992371,1.732
060590992372,1.732
060590992381,0.0
060590992382,3.162
060590992391,9.592
060590992392,6.633
060290009051,51.225
060290009052,47.466
060590995091,0.0
060590995093,0.0
060590995101,0.0
060590995103,0.0
060290009061,66.144
060290009071,82.286
060014038004,51.332
060014039001,41.17
060014039002,51.332
061070020092,0.0
060290046043,4.243
060290049014,7.937
060290050042,7.141
060290051031,63.238
060290052017,570.434
060290065002,158.411
060290055081,13.82
060290062021,9.434
060670096382,2.449
060014039003,51.332
060014040001,41.413
060014040002,41.413
060014075001,36.194
060014075002,36.194
060014075003,36.194
060014076001,24.0
060014076003,44.933
060014076004,44.933
060014076005,35.214
060014077001,17.521
060014077002,24.0
060014077003,24.0
060290001011,23.238
060290001012,23.238
060290001014,60.324
060014077004,24.0
060014212002,202.499
060014212003,206.17
060014212004,195.141
060014351022,153.958
060014094001,19.468
060014271002,16.613
060014311001,3.317
060014074003,47.592
060014412001,30.512
060014415213,11.489
060014312002,2.828
060014403072,11.662
060014003001,94.17
060014217003,115.46
060290022004,4.583
060290052045,497.454
060290011033,42.509
060290009022,63.127
060290028162,4.0
060014018002,12.083
060014326005,24.0
060014327001,24.0
060014327002,109.197
060014327003,24.0
060014328001,156.266
060014328003,167.209
060014330001,35.128
060290001015,35.029
060290001021,44.452
060290001022,20.761
060290002001,20.881
060014373002,26.173
060014373003,26.173
060014374001,3.464
060014374002,3.464
060014375001,3.606
060014419211,6.633
060014419212,3.0
060290002002,23.065
060290002003,23.238
060014504001,22.383
060014511022,15.395
060014506072,19.026
060290009081,46.84
060290009062,60.638
